image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-52ce253e76b0278d55ffefaf912bcd520226c822,38a9ee8f476c.png,38a9ee8f476c783954ab3f1b5d23789e3795b4d43fc43ae6f16763de34b6dddc,38a9ee8f476c,image/png,34865,1044,463,RGBA,,1,extracted
image-0c355d5dd60b9b66143bc72aa4017fe10ea56c53,c72ab491e996.png,c72ab491e99639a3abc244681194ad126f7997d4508bff9649555b970dc1c460,c72ab491e996,image/png,17960,876,269,RGBA,,1,extracted
image-213514048e2d80b8d35ee35f9b2bd0776e3c89e5,b7da77a2b460.png,b7da77a2b460cff1abde276eb58c14d94d3229a7ebe8265a6113490fd34071e9,b7da77a2b460,image/png,13930,866,174,RGBA,,1,extracted
image-5ce10e487e2799d5a3b2cc897036e4f9aeec5b56,62b05a03e6cc.png,62b05a03e6cc32036829bf82bd675ac424beaa67d4a81b33d8327367e762f9b1,62b05a03e6cc,image/png,15960,904,225,RGBA,,1,extracted
image-e088ade3b1ccc92bd88bb8a033f3bd4ce181ba26,ac63ef63a817.png,ac63ef63a8174daee38a82f282bf221d41bfa4b240aae26dd54a03ef9dee6be1,ac63ef63a817,image/png,32110,855,407,RGBA,,1,extracted
image-7bcd1bb966e201a646f4ae8f754deab57b7a8a04,65dc9d3e59a4.png,65dc9d3e59a4e0f3086ae4eaa1f343de1407ecfcbdfda9222a6aea9ccdc67bde,65dc9d3e59a4,image/png,31209,953,407,RGBA,,1,extracted
image-8530c8245fc455db17511bdb93eca68151d03b09,56ac7833ccb8.png,56ac7833ccb8827e3ccab1dd1245deb709611712c279c7125e76a7b8b05f6ae4,56ac7833ccb8,image/png,17805,898,251,RGBA,,1,extracted
image-a54710f717078a00c85e2ffbe43147c6f75c6f86,07d705511492.png,07d7055114929aaf877626de562bd53166f987c64e00aa81143f360bd5eb950f,07d705511492,image/png,23991,949,369,RGBA,,1,extracted
image-62d844bdacbd9509b2af5993beaa9e8f48fa9a52,6c55d6f307d0.png,6c55d6f307d0ae4a2e1f4556d815f4e7317e012d33a92985b06ad0264bd10155,6c55d6f307d0,image/png,25585,915,394,RGBA,,1,extracted
image-4fb99fb4cef0f48299f9eb99778fdf59579a9881,5d335ee13135.png,5d335ee13135d21a99321a3a353997c70cc82e90bc21c418e7a2350407e9ab66,5d335ee13135,image/png,34313,930,498,RGBA,,1,extracted
image-d7324f316da09ba8b58387cec4aa166434c45d79,75c5a3c33f88.png,75c5a3c33f88d2d518c97fe6082eb9c638e2d244c7ea3a0886a466688a10a2aa,75c5a3c33f88,image/png,36050,1035,653,RGBA,,1,extracted
image-d1ddc12f5110c7cdab16d466dd575f349cab06a8,e20a747b4edc.png,e20a747b4edcce8e137c5853609a1ed9838621bd54e77054fc2c857565d86b67,e20a747b4edc,image/png,22333,954,361,RGBA,,1,extracted
image-b1747af804750879b9bf8aecc3bb30eb60af0b45,8035270e88d3.png,8035270e88d32ee0d533c139497494f229f0601d36b877a477862475302ce93f,8035270e88d3,image/png,44786,847,527,RGBA,,1,extracted
image-bc363cac6ca8767b5b95a00d6642de7913bc0b93,8dfb92256442.png,8dfb922564429cabc905564cb641da7e72c525c39574c722de6ec605e9e442bb,8dfb92256442,image/png,23747,757,387,RGBA,,1,extracted
image-2a6634e6d7891c293206fe0efa1078cf0a5d253c,0bb94ac5a294.png,0bb94ac5a294975078ca9d47ff8f656f486cc1d983f31c98d39bfa56ee058eae,0bb94ac5a294,image/png,28952,993,357,RGBA,,1,extracted
image-e28a6a8bff6af7e1b21183e2c2460f65103be8ba,b5a71298390f.png,b5a71298390f0ba4c7a9c110e50afb1ee88d4aea4a72d47829936c54ee787016,b5a71298390f,image/png,14583,825,204,RGBA,,1,extracted
image-cf8cab1566677276ea1122a93fcfa16eed43c56d,648fa7da4ba5.png,648fa7da4ba57b0ec6a99e5430d8f15d787281e7d63d5be47b8e87ff327fe0e4,648fa7da4ba5,image/png,24940,952,371,RGBA,,1,extracted
image-46e648cc390f61040fb435cfbbf006df2f5ffc2d,d8fa47770caf.png,d8fa47770caf2e2638de9047dcd57d4ac0004b67a86f3d52741e2bb137de69db,d8fa47770caf,image/png,44310,998,612,RGBA,,1,extracted
image-6e5da4bfe8e9397cb5517bd4212c3541afe5c2b5,c68522a76e52.png,c68522a76e523bd8446bf6f397a876929bfb496d354c962727c5c6305df4ef82,c68522a76e52,image/png,31298,907,400,RGBA,,1,extracted
image-1d9ccefee62a8cf05ded343df33e9e19ed0aaa77,2ee3d73d3078.png,2ee3d73d307893b854aaa5eb6b129338cfafc5870238433d454fefaa6dbf0781,2ee3d73d3078,image/png,47878,932,568,RGBA,,1,extracted
image-926ab59043fc33b04c9e3a1142ca246e5304dda9,da929af27914.png,da929af27914f2346a1d40576699bc656cb6ef1ae3eaaaea024f381e788a6fca,da929af27914,image/png,10477,538,266,RGBA,,1,extracted
image-c291bff5d8dd31d8f56ce1e065deb3cad79483f7,ffe8bd03a72c.png,ffe8bd03a72c906aefaf3edba352d4760e27ae1ed4c0afe3df5bc1f858ad9405,ffe8bd03a72c,image/png,14071,869,210,RGBA,,1,extracted
image-f6fb435ba381842dac35c21d0c5ff0f18e1d2462,4e2433f52400.png,4e2433f52400cf95d8c10c428bc1c6c40e53e6dd816386972b7c8aca9e8f4241,4e2433f52400,image/png,31329,924,455,RGBA,,1,extracted
image-e9770168b1bc853d9549cf57ceb6718d4c9c4c9f,56a532c45a5a.png,56a532c45a5ae05bb4197eb37f3a7271a0e66befda2e39a50d3336c255c14365,56a532c45a5a,image/png,31180,936,427,RGBA,,1,extracted
image-4e6e1df52b6d2d4667b310e895f2b407ee1e36ad,e8bb166b592e.png,e8bb166b592efed0e39ba0ea47f72f74f3ea90007b358d0820c7048fb274fa9f,e8bb166b592e,image/png,18114,622,340,RGBA,,1,extracted
image-637e603fec1b992120058c6263d61ab0ffbf26ed,ea60855197f0.png,ea60855197f06043e200b61168d924518080a1208ed435be4cceb4536bc64ce5,ea60855197f0,image/png,12324,995,112,RGBA,,1,extracted
image-2d3bdefbceccf9580071eddcf54886fa8f746e69,00619f19aa89.png,00619f19aa89ec018368e0a943421fb21ddd8173e705300dbe231926e294f4cc,00619f19aa89,image/png,32724,958,359,RGBA,,1,extracted
image-41bba80c16c9dec9b4b4e9518bc4c425f37a44cd,086c28017c71.png,086c28017c718139a21efe423cd0a53b88554654a48c59eac545ea5ebab8409d,086c28017c71,image/png,23455,944,398,RGBA,,1,extracted
image-f7220f957dca918f033628f831df76d4d8702086,400b3f9a0721.png,400b3f9a0721c9b9d5bf4318daa6227fb8b786aca0f3e3a361c411f717d132f1,400b3f9a0721,image/png,49105,987,675,RGBA,,1,extracted
image-13f308733cf78fe0f5f6b511431383b4ba463a97,9d8357c88da9.png,9d8357c88da9f16ec8372794c1ceae5f979bd1813a7e45111ae16ae925ae3a9f,9d8357c88da9,image/png,32319,846,427,RGBA,,1,extracted
image-71028e7a5d80be4833dcbfd633f8ff08af9f41fa,57c250e7baaa.png,57c250e7baaa4ca62081db220874791f9e9a25dfc1f03adb06f4b9907a1e1722,57c250e7baaa,image/png,22255,912,254,RGBA,,1,extracted
image-9ee04a2a216924dcde318096b94463deb59355d4,06961c3b2a45.png,06961c3b2a453ca9ab191c4e9ef5a526116c297fa107f56d056e0744ba03164d,06961c3b2a45,image/png,37869,925,543,RGBA,,1,extracted
image-d724894d6463ab70207a35f64ba0811805eac7d9,1e8a76b02ea1.png,1e8a76b02ea1a4e75cb2685ff6016a03d631163adc6f2205a6ffae7055b9236d,1e8a76b02ea1,image/png,48616,916,582,RGBA,,1,extracted
image-7c7cfdfc5c99b0a89e5d09850117a9822d683ef3,391c8412ca18.png,391c8412ca18153a92bc45ef8f366ab290752e6f57a52175efcf17310efd45c2,391c8412ca18,image/png,20941,1016,257,RGBA,,1,extracted
image-b96bf01f54fe1518c269bfb938eda4437c652432,a6307f25678c.png,a6307f25678c70137dbcb3b735a7ba9809f661b7077dced9a95b0ab4fe61b71b,a6307f25678c,image/png,21765,965,283,RGBA,,1,extracted
image-7cac40d5f8f763d8f48ea1419f5f8b8c34456da9,98f37c1fc925.png,98f37c1fc92564e752f4c0e06f6dac443fd157c7c6ff7b915025fbface6fd17a,98f37c1fc925,image/png,45148,919,389,RGBA,,1,extracted
image-7b137a792d0ca873541052efe2856069c0ff098e,a0112a525960.png,a0112a52596008190881eb25b65c4ccd3d57c409f589499a63b7211e6c815103,a0112a525960,image/png,62890,978,493,RGBA,,1,extracted
image-0d1c2017fccd8c82e756baa891c252492e59bfa8,d75124d679df.png,d75124d679df19132f59cac6a31e34f1ade7df9731930799219f09e0041ba424,d75124d679df,image/png,22814,927,189,RGBA,,1,extracted
image-9bd7c530922623c802ee10a1cd97b26c8ab61990,b9b5f659d5f4.png,b9b5f659d5f4f34059bfa4b14dcc4b6fc1c14fc9d2f4cc82fdbc5eebfce86620,b9b5f659d5f4,image/png,13382,923,93,RGBA,,1,extracted
image-0242e527bc9dc6c4d679808d64b30061d078395d,7dc97244a555.png,7dc97244a5559c5467a32cbb8b91fc176978e3b06d212d7a063663fe0069995d,7dc97244a555,image/png,29478,714,488,RGBA,,1,extracted
image-cbc138a7c7412943f195a93dc0923d1a42326270,f89d193590d5.png,f89d193590d54cda5f50dc7d8bcafa0a35ae12dba5834ea029e3b506534214d2,f89d193590d5,image/png,36600,934,534,RGBA,,1,extracted
