text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-061,authenticated already as default scheme,6120.256094778779,6615.82258755965,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-062,during authentication middleware call,6120.256094778779,6665.5844959546,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-063,the handler is scoped and here,7418.0408918857665,9008.807980380592,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-064,in ensure,7418.0408918857665,9052.393851296787,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-065,"we set some prop on it, so it has cached result",7418.0408918857665,9095.97972221298,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-066,"Policy evaluator authenticate, run all",2822.482307976683,6971.394025802234,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-067,"schemes, (used handler results",2822.482307976683,7065.560705184558,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-068,are cached),2822.482307976683,7159.727384566882,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-069,merge principal from multiple schemes,2822.482307976683,7253.894063949207,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-070,if there are some,2822.482307976683,7348.060743331531,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-071,create new ticket from new,2470.6512050748897,7941.376447280248,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-072,principal and concatenation of,2470.6512050748897,7966.376447280248,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-073,schemes,2470.6512050748897,7991.376447280248,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-074,or,2470.6512050748897,8016.376447280248,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-075,nested func,2563.5553774374675,8452.952669120938,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-076,"if there is no attributes, then we get result from features/context.user",2843.4744422182193,8366.08123522347,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
